SK_ID_CURR,TARGET
100001,1
100005,0
100013,1
100028,0
100038,1
100042,0
100057,0
100065,0
100066,1
100067,1
100074,1
100090,0
100091,0
100092,0
100106,1
100107,0
100109,0
100117,0
100128,1
100141,1
100150,1
100168,1
100169,0
100170,1
100171,1
100172,0
100184,1
100187,0
100212,0
100222,0
100223,1
100232,0
100241,1
100245,0
100253,1
100256,0
100271,1
100278,1
100280,0
100306,0
100311,0
100312,0
100330,1
100331,0
100352,1
100358,0
100367,0
100382,0
100384,1
100385,0
100386,1
100399,1
100404,0
100416,1
100422,0
100426,1
100438,0
100444,0
100445,0
100446,1
100447,0
100450,0
100466,1
100483,0
100484,0
100494,0
100510,0
100512,0
100517,1
100548,0
100551,0
100552,0
100553,1
100561,1
100568,1
100569,0
100591,0
100592,1
100602,0
100607,0
100613,0
100617,0
100618,0
100622,1
100625,1
100677,0
100699,1
100702,0
100711,0
100729,1
100740,1
100744,1
100745,1
100747,1
100751,1
100752,0
100753,0
100754,0
100760,1
100762,0
100763,0
100765,1
100770,1
100772,0
100777,0
100791,0
100792,0
100797,1
100823,1
100826,0
100830,1
100836,0
100872,0
100910,0
100913,1
100918,1
100931,1
100952,1
100953,0
100965,0
100970,0
100982,1
100983,1
100984,0
100987,0
100997,0
100998,0
101002,1
101005,0
101008,1
101020,1
101021,1
101024,1
101025,1
101026,0
101031,1
101041,1
101051,1
101055,0
101056,1
101057,1
101064,0
101079,0
101087,1
101090,0
101092,1
101097,0
101099,0
101107,1
101118,1
101125,0
101126,0
101128,1
101136,1
101140,1
101149,1
101160,0
101169,0
101181,1
101186,0
101190,0
101193,0
101194,1
101198,0
101200,1
101204,0
101211,0
101213,1
101223,0
101225,1
101237,0
101243,1
101244,1
101258,0
101259,0
101268,1
101269,1
101271,1
101279,0
101281,1
101287,1
101292,0
101294,1
101296,1
101297,0
101299,1
101301,0
101305,0
101308,0
101318,1
101327,0
101329,0
101332,1
101337,0
101343,1
101345,0
101346,1
101353,0
101354,0
101355,1
101356,0
101362,1
101363,1
101365,1
101366,0
101367,1
101368,1
101374,0
101380,1
101383,0
101398,0
101399,0
101401,0
101412,1
101426,1
101427,0
101428,0
101429,1
101434,1
101440,0
101448,0
101449,1
101465,0
101467,0
101472,1
101478,1
101497,0
101504,0
101547,1
101548,0
101555,1
101570,1
101572,0
101578,0
101580,0
101588,1
101602,0
101610,0
101614,1
101616,1
101643,0
101644,1
101649,1
101650,1
101665,0
101667,1
101669,0
101674,1
101675,0
101678,0
101682,0
101686,0
101697,1
101700,0
101711,1
101714,0
101715,1
101728,0
101732,0
101757,0
101758,0
101759,1
101762,0
101764,0
101780,0
101784,0
101789,0
101816,1
101819,0
101827,0
101863,0
101867,1
101870,1
101873,1
101878,1
101879,0
101880,0
101887,0
101897,0
101901,0
101903,0
101920,1
101921,0
101922,0
101961,1
101962,0
101971,1
101976,0
102002,0
102005,1
102007,1
102017,0
102019,1
102029,0
102051,0
102052,0
102054,0
102062,0
102067,1
102068,1
102070,0
102090,0
102092,0
102099,0
102100,0
102112,0
102113,0
102122,0
102123,0
102125,0
102126,1
102146,0
102147,1
102151,0
102158,0
102159,0
102162,1
102165,1
102166,1
102174,1
102193,1
102198,0
102205,0
102206,0
102218,0
102221,1
102230,1
102238,1
102248,0
102252,0
102259,1
102262,0
102273,1
102286,0
102293,0
102294,1
102296,0
102298,1
102303,0
102309,0
102315,1
102340,0
102342,0
102344,0
102346,0
102347,1
102374,1
102380,0
102387,1
102393,0
102403,1
102413,1
102414,0
102415,0
102416,1
102439,0
102441,1
102443,1
102444,0
102445,1
102448,1
102449,1
102450,1
102456,1
102458,0
102459,1
102465,0
102470,0
102471,0
102475,0
102476,1
102506,1
102509,1
102519,1
102522,1
102545,0
102549,1
102562,1
102563,1
102568,0
102582,0
102592,1
102597,0
102605,1
102614,1
102617,0
102634,1
102652,1
102655,1
102671,0
102694,0
102701,0
102703,0
102704,1
102713,1
102720,0
102731,1
102733,0
102749,0
102755,1
102763,1
102770,1
102772,0
102799,1
102838,0
102854,0
102862,1
102863,1
102867,0
102868,1
102878,1
102887,0
102898,1
102904,1
102912,0
102919,1
102927,0
102932,0
102933,0
102935,1
102958,0
102969,0
102971,1
102975,0
102979,0
102982,0
102987,1
102989,1
102995,0
102996,0
103000,0
103001,1
103004,0
103010,1
103025,1
103029,1
103046,0
103056,0
103062,0
103078,0
103083,0
103092,0
103096,0
103097,1
103102,0
103112,0
103132,0
103144,1
103145,1
103146,1
103147,1
103158,0
103171,0
103173,0
103184,0
103195,0
103196,0
103206,0
103230,0
103231,1
103232,0
103239,0
103240,0
103243,0
103252,0
103258,0
103259,0
103279,0
103280,0
103286,0
103287,1
103290,0
103298,0
103315,1
103319,1
103334,1
103336,0
103345,1
103368,1
103371,0
103377,0
103398,0
103404,0
103408,1
103410,0
103418,0
103420,1
103432,0
103433,0
103436,0
103440,1
103453,1
103459,1
103460,0
103461,0
103462,0
103473,0
103474,1
103475,0
103478,1
103480,1
103484,1
103494,0
103513,0
103515,0
103516,0
103525,1
103541,0
